Mongolian|mn|mon|mon||
Nauru|na|nau|nau||
Navajo, Navaho|nv|nav|nav||
Norwegian Bokmål|nb|nob|nob||
North Ndebele|nd|nde|nde||
Nepali|ne|nep|nep||
Ndonga|ng|ndo|ndo||
Norwegian Nynorsk|nn|nno|nno||
Norwegian|no|nor|nor||
Nuosu|ii|iii|iii||
South Ndebele|nr|nbl|nbl||
Occitan|oc|oci|oci||
Ojibwe, Ojibwa|oj|oji|oji||
Old Church Slavonic, Church Slavic, Church Slavonic, Old Bulgarian, Old Slavonic|cu|chu|chu||
Oromo|om|orm|orm||
Oriya|or|ori|ori||
Ossetian, Ossetic|os|oss|oss||
Panjabi, Punjabi|pa|pan|pan||
P?li|pi|pli|pli||
Persian|fa|per|fas||
Polish|pl|pol|pol|pols|
Pashto, Pushto|ps|pus|pus||
Portuguese|pt|por|por||
Quechua|qu|que|que||
Romansh|rm|roh|roh||
Kirundi|rn|run|run||
Romanian, Moldavian(Romanian from Republic of Moldova)|ro|rum|ron||
Russian|ru|rus|rus||
Sanskrit (Sa?sk?ta)|sa|san|san||
Sardinian|sc|srd|srd||
Sindhi|sd|snd|snd||
Northern Sami|se|sme|sme||
Samoan|sm|smo|smo||
Sango|sg|sag|sag||
Serbian|sr|srp|srp||
Scottish Gaelic, Gaelic|gd|gla|gla||
Shona|sn|sna|sna||
Sinhala, Sinhalese|si|sin|sin||
Slovak|sk|slo|slk||
Slovene|sl|slv|slv||
Somali|so|som|som||
Southern Sotho|st|sot|sot||
Spanish, Castilian|es|spa|spa||
Sundanese|su|sun|sun||
Swahili|sw|swa|swa||
Swati|ss|ssw|ssw||
Swedish|sv|swe|swe||
Tamil|ta|tam|tam||
Telugu|te|tel|tel||
Tajik|tg|tgk|tgk||
Thai|th|tha|tha||
Tigrinya|ti|tir|tir||
Tibetan Standard, Tibetan, Central|bo|tib|bod||
Turkmen|tk|tuk|tuk||
Tagalog|tl|tgl|tgl||
Tswana|tn|tsn|tsn||
Tonga (Tonga Islands)|to|ton|ton||
Turkish|tr|tur|tur||
Tsonga|ts|tso|tso||
Tatar|tt|tat|tat||
Twi|tw|twi|twi||
Tahitian|ty|tah|tah||
Uighur, Uyghur|ug|uig|uig||
Ukrainian|uk|ukr|ukr||
Urdu|ur|urd|urd||
Uzbek|uz|uzb|uzb||
Venda|ve|ven|ven||
Vietnamese|vi|vie|vie||
Volapük|vo|vol|vol||
Walloon|wa|wln|wln||
Welsh|cy|wel|cym||
Wolof|wo|wol|wol||
Western Frisian|fy|fry|fry||
Xhosa|xh|xho|xho||
Yiddish|yi|yid|yid||
Yoruba|yo|yor|yor||
Zhuang, Chuang|za|zha|zha||
Zulu|zu|zul|zul||
||||
